"filename", "language", "Markdown", "CMake", "YAML", "HTML", "C++", "JSON", "Dart", "Swift", "XML", "Properties", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\onboarding\onboarding_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 2, 9, 201
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\update-profile\update_profile_bindings.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\update-profile\update_profile_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 47, 21, 201
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\update-profile\update_profile_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 384, 0, 0, 0, 1, 6, 391
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 11, 3, 47
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 1, 28, 175
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create\create_expense_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 539, 0, 0, 0, 21, 8, 568
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 23, 115
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 35, 4, 209
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 3, 31, 203
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\update\update_expense_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 557, 0, 0, 0, 1, 8, 566
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 3, 10, 99
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 18, 14, 376
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 392, 0, 0, 0, 43, 49, 484
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 966, 0, 0, 0, 65, 29, 1060
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_view_copy.dart", "Dart", 0, 0, 0, 0, 0, 0, 941, 0, 0, 0, 66, 30, 1037
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 2, 28, 155
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create\create_income_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 361, 0, 0, 0, 17, 9, 387
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 6, 27, 171
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\update\update_income_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 371, 0, 0, 0, 0, 8, 379
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create\create_refueling_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
