"filename", "language", "YAML", "Dart", "JSON", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\vehicles_controller.dart", "Dart", 0, 7, 0, 0, 2, 9
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\vehicles\vehicles_view.dart", "Dart", 0, 82, 0, 0, 0, 82
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reminder\create\create_reminder_view.dart", "Dart", 0, -15, 0, 0, -2, -17
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reports\reports_controller.dart", "Dart", 0, 493, 0, 76, 74, 643
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\reports\reports_view.dart", "Dart", 0, 457, 0, 5, 8, 470
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\setting\setting_view.dart", "Dart", 0, 0, 0, 2, 0, 2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\splash_screen.dart", "Dart", 0, 2, 0, 0, 0, 2
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\routes\app_pages.dart", "Dart", 0, 49, 0, 0, 2, 51
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\routes\app_routes.dart", "Dart", 0, 7, 0, 7, 0, 14
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\services\app_service.dart", "Dart", 0, 51, 0, 0, 9, 60
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\constants.dart", "Dart", 0, 7, 0, 7, 0, 14
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\utils\utils.dart", "Dart", 0, 122, 0, 13, 13, 148
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\pubspec.yaml", "YAML", 3, 0, 0, 1, 2, 6
"Total", "-", 3, 9951, 116, 531, 645, 11246
