"filename", "language", "Dart", "YAML", "Markdown", "JSON", "HTML", "C++", "CMake", "Swift", "XML", "Properties", "comment", "blank", "total"
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_controller.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\common\view-photo\view_photo_view.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 47
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create_expense_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create_expense_controller.dart", "Dart", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 192
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\create_expense_view.dart", "Dart", 533, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 545
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_controller.dart", "Dart", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 102
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\expense\type\expense_type_view.dart", "Dart", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 200
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_controller.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 86
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\filter\home_filter_view.dart", "Dart", 351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14, 369
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_controller.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\home_view.dart", "Dart", 559, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21, 590
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create_income_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create_income_controller.dart", "Dart", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 163
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\income\create_income_view.dart", "Dart", 358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 365
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create_refueling_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create_refueling_controller.dart", "Dart", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 253
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\refueling\create_refueling_view.dart", "Dart", 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 615
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create_route_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create_route_controller.dart", "Dart", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 185
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\route\create_route_view.dart", "Dart", 507, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 515
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create_service_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create_service_controller.dart", "Dart", 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 198
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\create_service_view.dart", "Dart", 532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 540
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_binding.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_controller.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 103
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\home\service\type\service_type_view.dart", "Dart", 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 204
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\create\create_general_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\create\create_general_controller.dart", "Dart", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 123
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\create\create_general_view.dart", "Dart", 337, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 347
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\general_bindings.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\general_controller.dart", "Dart", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 155
"e:\Development\Multan\Xtra App Studio\3.35.4\drivvo\lib\modules\more\general\general_view.dart", "Dart", 177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 182
